Recursive Rollout Performance
| Seed | Variant | MSE@1 | MSE@2 | MSE@3 | Long MSE |
|---:|---|---:|---:|---:|---:|
| 17 | baseline | 0.8537 | 0.9326 | 1.1047 | 1.0186 |
| 17 | ensemble | 0.7608 | 0.8381 | 0.9877 | 0.9129 |
| 17 | recursive_max | 0.7430 | 0.7933 | 0.9269 | 0.8601 |
| 17 | rhrt | 0.7519 | 0.8062 | 0.9732 | 0.8897 |
| 17 | rhrt_ensemble | 0.7476 | 0.7742 | 0.9208 | 0.8475 |
| 29 | baseline | 0.8586 | 0.9372 | 1.1230 | 1.0301 |
| 29 | ensemble | 0.7613 | 0.8295 | 0.9669 | 0.8982 |
| 29 | recursive_max | 0.7472 | 0.7763 | 0.9470 | 0.8616 |
| 29 | rhrt | 0.7571 | 0.7915 | 0.9660 | 0.8788 |
| 29 | rhrt_ensemble | 0.7337 | 0.7677 | 0.9148 | 0.8413 |
| 7 | baseline | 0.7724 | 0.8682 | 0.9907 | 0.9295 |
| 7 | ensemble | 0.7759 | 0.8586 | 0.9980 | 0.9283 |
| 7 | recursive_max | 0.7483 | 0.7835 | 0.9393 | 0.8614 |
| 7 | rhrt | 0.7502 | 0.8136 | 0.9866 | 0.9001 |
| 7 | rhrt_ensemble | 0.7432 | 0.7761 | 0.9279 | 0.8520 |
